gene,chromosome,oe_lof_upper,pLI,mis_z
APC,5,0.161,1.0,0.16764
FKBP8,19,0.161,0.99825,2.3275
OPHN1,X,0.161,0.99985,2.5929
USP48,1,0.161,1.0,4.3729
KDM6A,X,0.161,1.0,2.946
CAPZA2,7,0.161,0.99828,1.8416
NPM1,5,0.162,0.99816,1.9535
PSMD12,17,0.162,0.99984,1.8713
ZNF131,5,0.162,0.99983,2.6655
GPC3,X,0.162,0.9982,1.4519
GRAMD4,22,0.162,0.99998,2.5559
KIF2A,5,0.162,0.99998,4.0356
FGD5,3,0.162,1.0,0.16707
CKAP5,11,0.162,1.0,3.7781
UPF1,19,0.162,1.0,5.626
UTP14A,X,0.162,0.99983,1.4856
CHD1,5,0.162,1.0,4.2089
ZBTB2,6,0.162,0.9982,2.6382
CPSF6,12,0.163,0.99982,3.9424
FAM120A,9,0.163,1.0,3.3485
WDR43,2,0.163,0.99997,0.7013
CUX1,7,0.163,1.0,3.7492
ZNF865,19,0.163,0.99814,3.9067
MAPK8IP1,11,0.163,0.99983,1.4927
CDK19,6,0.163,0.99982,3.5632
NFKB2,10,0.163,1.0,3.9376
KDM5A,12,0.163,1.0,2.2471
TEX10,9,0.163,1.0,1.541
KIAA0947,5,0.164,1.0,0.72884
MDM2,12,0.164,0.99981,2.3326
CASKIN1,16,0.164,1.0,1.7876
MYC,8,0.164,0.99801,1.2227
CLK2,1,0.164,0.99997,2.1973
PAX5,9,0.165,0.99798,2.4521
ZNF608,5,0.165,0.99999,1.0616
DSCAML1,11,0.165,1.0,3.15
CCNJ,10,0.165,0.99796,1.5985
CCNK,14,0.165,0.9998,3.305
TLK1,2,0.165,0.99999,3.564
LARP1,5,0.165,1.0,3.0683
ARIH1,15,0.166,0.99997,4.5919
LRRC4,7,0.166,0.99787,1.9588
RBFOX3,17,0.166,0.99785,2.1257
ZNF629,16,0.166,0.99978,3.8578
KDM5C,X,0.166,1.0,5.1452
PHF6,X,0.166,0.99784,2.2833
DICER1,14,0.166,1.0,4.2261
GRIN2D,19,0.167,0.99996,4.8478
RPL5,1,0.167,0.99776,1.9019
PHF23,17,0.167,0.99774,0.96001
SIPA1L1,14,0.167,1.0,2.9815
MYH10,17,0.167,1.0,5.0058
GABBR2,9,0.167,0.99999,4.6253
CECR2,22,0.167,1.0,0.57282
F9,X,0.167,0.99776,2.1809
PAK7,20,0.167,0.99977,1.4706
USP11,X,0.167,0.99996,3.5731
PPP1R9B,17,0.168,0.99975,3.0203
SFSWAP,12,0.168,0.99999,2.7967
HNF1B,17,0.168,0.99976,1.7347
NOP2,12,0.168,0.99996,0.63815
TMEM63B,6,0.168,0.99999,4.2176
STAU1,20,0.168,0.99976,1.9302
ARPC2,2,0.168,0.99769,2.7043
CSK,15,0.168,0.99977,3.978
SOX9,17,0.168,0.99772,1.6311
NCOR2,12,0.169,1.0,2.0058
ANK1,8,0.169,1.0,2.0781
ZNF236,18,0.169,1.0,3.8358
ABCA2,9,0.169,1.0,4.9116
PPP1R16B,20,0.169,0.99974,2.4414
RC3H2,9,0.169,1.0,2.4483
PAX6,11,0.169,0.99975,2.8175
CENPI,X,0.169,0.99974,1.4621
ZNF638,2,0.169,1.0,-0.57514
NACC1,19,0.169,0.99763,4.1668
PDGFRA,4,0.169,1.0,1.9401
CADM4,19,0.169,0.99762,2.7432
ACVR2A,2,0.17,0.99972,3.2896
TRIM9,14,0.17,0.99973,3.0087
DYRK2,12,0.17,0.99751,1.952
TRPC5,X,0.17,0.99973,3.2725
C7orf60,7,0.17,0.99746,2.2109
MKL2,16,0.17,0.99999,0.52321
GPATCH8,17,0.17,1.0,1.4616
ESCO1,18,0.17,0.99995,0.43144
GRID2,4,0.17,1.0,0.70789
WEE1,11,0.17,0.99973,2.6447
MBTPS2,X,0.17,0.99752,2.0915
PRPF4B,6,0.17,1.0,3.5854
ZNF654,3,0.17,0.99753,1.1309
CHD9,16,0.17,1.0,3.7686
KIF1B,1,0.171,1.0,3.599
RNF2,1,0.171,0.99743,2.5248
DAGLA,11,0.171,0.99999,4.0068
MNT,17,0.171,0.99739,0.98103
PRKCD,3,0.171,0.99995,3.1145
KDM4B,19,0.171,1.0,3.4843
CELF1,11,0.171,0.99971,3.3435
ANKRD28,3,0.171,1.0,2.3872
MEN1,11,0.171,0.99971,3.2487
SYVN1,11,0.171,0.9997,2.1821
FZR1,19,0.172,0.99969,3.6413
ZFP91,11,0.172,0.9997,1.6299
ARMC8,3,0.172,0.99999,2.8797
CAMTA1,1,0.172,1.0,3.2619
LIN54,4,0.172,0.99994,2.6985
TRIM71,3,0.172,0.99969,3.2795
NKAP,X,0.172,0.99735,1.5082
TFAP4,16,0.172,0.99731,1.5962
ACVR1B,12,0.172,0.99969,3.3735
PSMD4,1,0.172,0.99726,2.532
FBLN5,14,0.172,0.9997,1.5565
EEF2,19,0.172,0.99995,4.8778
ISY1-RAB43,3,0.172,0.9997,1.4177
CFLAR,2,0.173,0.99967,2.1864
OTUD5,X,0.173,0.99717,3.994
HIVEP1,6,0.173,1.0,0.32818
GTF3C1,16,0.173,1.0,3.2622
ENAH,1,0.173,0.99994,1.7364
FOXO1,13,0.173,0.99725,1.7079
TNRC6B,22,0.173,1.0,2.8741
EEF1G,11,0.173,0.99967,2.5006
TENM4,11,0.173,1.0,2.7323
KLF4,9,0.174,0.99714,0.10042
SEC24C,10,0.174,1.0,1.4958
CTDSPL2,15,0.174,0.99966,2.1992
JADE2,5,0.174,0.99994,2.4622
PCGF1,2,0.174,0.99713,2.1102
TTC28,22,0.174,1.0,4.1651
GATA6,18,0.174,0.99709,1.2835
SCN3A,2,0.174,1.0,4.618
PSME3,17,0.174,0.99714,2.3889
TET1,10,0.174,1.0,1.6229
NUP153,6,0.174,1.0,-0.76099
CELF2,10,0.174,0.99965,4.3351
DDX6,11,0.174,0.99964,3.7809
BAG6,6,0.174,1.0,2.7197
EPHA4,2,0.175,1.0,2.8852
MKLN1,7,0.175,0.99998,2.7412
ZMYM4,1,0.175,1.0,3.859
PPP2R5D,6,0.175,0.99993,3.6476
ANAPC2,9,0.175,0.99993,2.4134
FOXP1,3,0.175,0.99998,2.2759
TDRD1,10,0.175,1.0,1.3963
MAP4K4,2,0.175,1.0,4.7404
MAPK1,22,0.175,0.99698,3.6111
NCDN,1,0.175,0.99964,3.7632
BSN,3,0.175,1.0,1.2609
ADRM1,20,0.175,0.99704,1.3783
NCOR1,17,0.175,1.0,3.9371
CNOT7,8,0.176,0.99686,2.6287
MTM1,X,0.176,0.99961,2.395
BAZ1A,14,0.176,1.0,2.944
ABL1,9,0.176,0.99998,2.5581
JAKMIP2,5,0.176,1.0,3.3619
ZNF516,18,0.176,0.99992,0.9919
PTBP1,19,0.176,0.99961,1.6525
CLASP1,2,0.176,1.0,3.6133
HTT,4,0.176,1.0,2.7799
RELN,7,0.176,1.0,2.2497
BRPF1,3,0.176,1.0,3.8305
R3HDM2,12,0.176,1.0,3.3255
MYO9B,19,0.177,1.0,3.9717
PHF2,9,0.177,1.0,3.4944
PAPOLA,14,0.177,0.99998,3.5467
ZZZ3,1,0.177,0.99998,1.6715
EIF4ENIF1,22,0.177,0.99999,1.9865
PSME4,2,0.177,1.0,2.2691
NCL,2,0.177,0.99992,0.84885
GLA,X,0.177,0.99675,1.8759
GPHN,14,0.177,0.99998,3.4435
BRPF3,6,0.177,0.99998,2.9063
MSL3,X,0.178,0.99665,1.9314
PRPF8,17,0.178,1.0,8.2838
KDM2B,12,0.178,1.0,3.4362
AKT3,1,0.178,0.99958,3.946
HIC2,22,0.178,0.99668,2.0547
PNISR,6,0.178,0.99998,1.6144
DPP10,2,0.178,0.99999,1.2238
MGAT5,2,0.178,0.99998,2.5571
NKRF,X,0.178,0.99661,2.7407
ADRBK1,11,0.178,0.99998,3.2172
ZER1,9,0.178,0.99992,3.7482
EXOC5,14,0.178,0.99991,2.3445
SF3B3,16,0.178,1.0,5.1845
SYMPK,19,0.179,1.0,2.8559
SPPL3,12,0.179,0.99656,3.4367
PKD1,16,0.179,1.0,-4.3234
TEK,9,0.179,1.0,1.3491
G3BP2,4,0.179,0.99954,3.6091
ZBTB18,1,0.179,0.99658,3.4305
PTPN2,18,0.179,0.99953,1.3785
ARHGEF12,11,0.179,1.0,3.2476
LAS1L,X,0.179,0.99955,2.6661
PLK2,5,0.18,0.9999,3.0118
PITPNM2,12,0.18,1.0,4.13
IDS,X,0.18,0.9964,1.58
DST,6,0.18,1.0,2.2208
DNM2,19,0.18,0.99998,3.4829
PDS5B,13,0.18,1.0,4.3935
PTPRT,20,0.18,1.0,3.1351
RPL7,8,0.181,0.99626,1.1503
TOX3,16,0.181,0.9995,1.1626
CENPB,20,0.181,0.99634,2.7337
SERBP1,1,0.181,0.9995,1.6692
ZRANB2,1,0.181,0.99949,1.676
HCN1,5,0.181,0.99989,3.6647
RELA,11,0.181,0.99948,2.4481
COPS3,17,0.181,0.99949,2.3651
TFDP2,3,0.181,0.9995,1.6916
WDR7,18,0.181,1.0,2.4844
TNIK,3,0.181,1.0,4.1047
ZDHHC17,12,0.181,0.99989,2.5711
NOL6,9,0.182,1.0,0.86416
NOVA1,14,0.182,0.99621,2.315
LMTK3,19,0.182,0.99997,4.3151
ATP5A1,18,0.182,0.99945,2.437
SLC7A3,X,0.182,0.99614,1.9016
MLLT10,10,0.182,1.0,1.5999
MLLT6,17,0.182,0.99997,2.1004
RP11-152F13.10,15,0.182,0.9961,2.3308
ATP2C1,3,0.182,1.0,3.6736
RNF8,6,0.183,0.99943,2.1572
SET,9,0.183,0.99597,2.6574
UBE3C,7,0.183,1.0,2.5448
SYCP2,20,0.183,1.0,0.25831
CIC,19,0.183,0.99999,0.72576
ACAN,15,0.183,1.0,0.20716
SF1,11,0.183,0.99943,3.6203
EPHB2,1,0.184,0.99997,2.4517
CSNK2A2,16,0.184,0.9994,3.1546
FAT4,4,0.184,1.0,0.62191
NAP1L1,12,0.184,0.99941,1.7617
MED12L,3,0.184,1.0,3.132
ALAS2,X,0.184,0.99586,2.3698
CEP350,1,0.184,1.0,1.3875
DDX21,10,0.184,0.99997,2.453
MEIS2,15,0.184,0.99938,2.4571
MTF2,1,0.184,0.99987,2.5458
MAP3K4,6,0.184,1.0,2.8742
SHANK1,19,0.184,1.0,3.6416
KLHL2,4,0.185,0.99985,3.8855
MTOR,1,0.185,1.0,7.0206
PACS1,11,0.185,0.99999,3.71
GLUL,1,0.185,0.9957,1.6048
NAV3,12,0.185,1.0,1.3325
NCAM1,11,0.185,0.99999,2.7111
SARNP,12,0.185,0.99574,1.1802
WWC3,X,0.185,0.99996,1.5132
LRRC41,1,0.185,0.99986,3.0813
CTNND1,11,0.185,0.99999,2.0763
LPHN3,4,0.185,1.0,2.6686
CNKSR2,X,0.185,0.99996,3.6053
FXR2,17,0.185,0.99996,2.6242
SYK,9,0.185,0.99986,2.9041
PTPN12,7,0.186,0.99996,1.1579
PAPD7,5,0.186,0.99934,2.3102
PARP6,15,0.186,0.99996,3.176
EEF1A2,20,0.186,0.99558,4.8166
HNRNPUL1,19,0.186,0.99999,3.226
ZC3H11A,1,0.186,0.99996,1.6903
PRRC2A,6,0.186,1.0,-0.18436
XKR6,8,0.186,0.99934,2.0096
ARID4B,1,0.187,1.0,2.2906
EIF3D,22,0.187,0.99983,3.4948
NDST1,5,0.187,0.99995,2.9238
PTPRF,1,0.187,1.0,2.7957
LPHN1,19,0.187,1.0,3.4265
ARHGEF7,13,0.187,0.99995,2.5727
GPKOW,X,0.187,0.99553,0.92073
EED,11,0.187,0.99929,2.7345
ZNF423,16,0.187,0.99996,2.4902
CUX2,12,0.187,1.0,3.1818
NFATC2,20,0.187,0.99995,1.6412
STAT1,2,0.187,0.99999,5.1492
TMEM108,3,0.187,0.99555,0.66665
DIDO1,20,0.187,1.0,1.0989
PHF20L1,8,0.187,1.0,1.8451
PRDM16,1,0.187,0.99999,1.3471
DLL4,15,0.188,0.99982,2.7062
SEPT7,7,0.188,0.99924,2.742
CDC73,1,0.188,0.99995,3.7315
JARID2,6,0.188,0.99999,2.6866
SNRNP70,19,0.188,0.99926,3.451
PRRC2B,9,0.188,1.0,0.71278
SOX5,12,0.188,0.99995,3.1513
GRIN2A,16,0.188,0.99998,2.8278
PLAG1,8,0.188,0.99532,2.246
ASAP1,8,0.188,1.0,3.3052
CCT5,5,0.188,0.99928,1.4749
CNOT2,12,0.189,0.99981,3.6472
ELAVL2,9,0.189,0.99514,1.2898
SUGP2,19,0.189,0.99995,0.66247
RSPRY1,16,0.189,0.99981,3.361
USP37,2,0.189,0.99999,2.464
NRF1,7,0.189,0.99922,4.5138
NFKBIZ,3,0.189,0.99981,1.1814
RBBP5,1,0.189,0.99981,3.5907
DSCAM,21,0.189,1.0,3.2228
TTC7B,14,0.189,0.99998,2.0937
PRKD2,19,0.189,0.99995,3.6762
PAXBP1,21,0.19,0.99999,2.6647
UNK,17,0.19,0.99994,3.7206
KIAA2018,3,0.19,1.0,0.79301
AP2M1,3,0.19,0.99919,4.8818
NOS1,12,0.19,1.0,3.6832
CBX2,17,0.19,0.99503,-0.26229
PPARD,6,0.19,0.99497,2.4806
YAP1,11,0.19,0.99918,1.7764
ESR1,6,0.19,0.9992,1.612
THRAP3,1,0.19,0.99998,2.1627
UBE2Q1,1,0.19,0.99919,3.3549
RNF31,14,0.19,1.0,2.1351
NYAP1,7,0.19,0.99917,0.76762
SCARF2,22,0.19,0.9998,3.0165
C20orf112,20,0.191,0.99496,1.9612
DOCK9,13,0.191,1.0,3.0983
COL4A5,X,0.191,1.0,2.4995
NR2F1,5,0.191,0.99482,4.1652
WNK3,X,0.191,0.99999,2.552
DKC1,X,0.191,0.99916,3.3994
SENP5,3,0.191,0.99978,2.1167
LGI1,10,0.191,0.99914,2.7809
BMPR2,2,0.191,0.99998,2.0624
SMARCE1,17,0.191,0.99915,2.7408
FURIN,15,0.191,0.99994,2.5033
SPTBN4,19,0.191,1.0,3.9344
RPL7A,9,0.191,0.99485,0.90114
TENM2,5,0.191,1.0,3.2996
ASIC2,17,0.192,0.99912,1.6707
ACTR3B,7,0.192,0.99911,2.9731
ARHGAP31,3,0.192,0.99999,0.79672
SNX27,1,0.192,0.99977,2.1731
AJAP1,1,0.192,0.99469,0.93643
PTPRA,20,0.192,0.99998,2.6686
GRIK3,1,0.192,0.99998,3.0056
MAP1A,15,0.192,1.0,2.0101
CEP170,1,0.192,1.0,2.1974
GDI1,X,0.192,0.99471,3.2905
XKR4,8,0.192,0.99912,1.6367
HPN,19,0.192,0.99911,1.7897
TNS3,7,0.192,1.0,0.94464
MTPAP,10,0.193,0.99904,0.95069
VDAC3,8,0.193,0.99454,1.0966
SNAP91,6,0.193,0.99993,2.1577
EBF2,8,0.193,0.99976,2.11
TAF5L,1,0.193,0.99904,2.3686
ZBTB16,11,0.193,0.99907,2.4714
AGO3,1,0.193,0.99997,5.2591
PPME1,11,0.193,0.99904,1.7468
GRIA3,X,0.193,0.99976,4.2268
NFKBIA,14,0.193,0.99452,0.70728
TENM1,X,0.193,1.0,3.4329
CYBB,X,0.193,0.99904,2.1906
SCAF11,12,0.193,1.0,0.53835
TBX18,6,0.193,0.99905,0.099027
SEC24B,4,0.194,1.0,1.2338
ZNF280C,X,0.194,0.99899,1.5458
ATN1,12,0.194,0.99992,1.7621
EXOC8,1,0.194,0.99902,2.0422
BHLHE40,3,0.194,0.99444,0.78743
SH3KBP1,X,0.194,0.99899,2.0512
SKI,1,0.194,0.99901,1.5143
DCUN1D5,11,0.194,0.99432,2.2757
SOGA1,20,0.194,1.0,2.2697
CHM,X,0.194,0.99899,0.79323
RBFOX2,22,0.194,0.99902,2.5839
RAE1,20,0.194,0.99902,2.677
RUVBL1,3,0.194,0.99902,3.3859
SMEK1,14,0.194,0.99992,3.6423
TBR1,2,0.194,0.99901,3.6362
PSMD13,11,0.194,0.99901,0.63406
GLI3,7,0.195,0.99999,0.5222
SGIP1,1,0.195,0.99997,1.0555
FOXP3,X,0.195,0.99424,1.6724
KIAA0232,4,0.195,0.99999,1.1986
WDR44,X,0.195,0.99972,2.9519
CACNG3,16,0.195,0.99417,2.6436
SIN3B,19,0.195,0.99999,3.8662
ATRN,20,0.195,1.0,2.6863
KLHL15,X,0.195,0.99422,3.6857
ACTR2,2,0.195,0.99896,3.6696
GLYR1,16,0.195,0.99973,2.3438
CLIP2,7,0.196,0.99997,2.3557
PDS5A,4,0.196,1.0,5.0494
PIK3CD,1,0.196,0.99999,4.2747
ROCK1,18,0.196,1.0,4.5866
SALL1,16,0.196,0.99971,0.72174
ATXN7L3,17,0.196,0.99892,2.0511
FGD1,X,0.196,0.9997,3.5183
LINGO1,15,0.196,0.99413,2.8006
TNFAIP3,6,0.196,0.99972,1.452
NUFIP2,17,0.196,0.99891,0.60391
RIC8B,12,0.196,0.99892,2.0044
IL1RAPL1,X,0.197,0.99886,2.7685
POU2F2,19,0.197,0.99884,2.602
COPS4,4,0.197,0.99886,3.1361
DNAJC13,3,0.197,1.0,2.2836
XRN1,3,0.197,1.0,2.1075
ANKRD12,18,0.197,1.0,0.55717
PACSIN1,6,0.197,0.99887,2.6315
RAPGEF2,4,0.197,1.0,3.618
ETS2,21,0.197,0.99888,2.2796
HCFC2,12,0.198,0.99989,3.504
PAIP1,5,0.198,0.99884,0.90342
LAMC1,1,0.198,1.0,1.5804
SSBP3,1,0.198,0.99968,2.7512
NEDD4L,18,0.198,1.0,3.7252
KIAA0368,9,0.198,1.0,1.7659
PDGFC,4,0.198,0.99374,1.1736
KIAA2022,X,0.198,0.99968,1.2725
IPO13,1,0.198,0.99998,3.4891
PSMA5,1,0.198,0.99376,2.807
YY1,14,0.198,0.9938,3.3086
ASXL3,18,0.199,1.0,0.60715
PA2G4,12,0.199,0.99876,3.5227
DLGAP2,8,0.199,0.99989,-0.99638
MPPED2,11,0.199,0.99349,1.9952
CPSF7,11,0.199,0.99873,2.5875
VCAN,5,0.199,1.0,0.13865
PAX8,2,0.2,0.99869,0.78514
PRKCE,2,0.2,0.99988,3.7729
KCTD16,5,0.2,0.99329,1.232
KIF4A,X,0.2,0.99998,2.5594
DAB2IP,9,0.2,0.99995,2.3614
SIPA1L3,19,0.2,1.0,1.5533
TOX,8,0.2,0.99869,1.2009
NTNG2,9,0.201,0.99866,2.9337
CLASP2,3,0.201,1.0,3.872
HERC2,15,0.201,1.0,4.4237
DCAF8,1,0.201,0.9996,3.1538
STIP1,11,0.201,0.99987,1.9196
ACIN1,14,0.201,1.0,2.2011
HSPA8,11,0.201,0.99863,4.4595
RPL6,12,0.201,0.99326,1.0321
SETDB1,1,0.201,1.0,4.0082
NFIA,1,0.202,0.99959,3.231
RNF220,1,0.202,0.99958,2.2243
JPH3,16,0.202,0.99855,-0.31841
CACNA1I,22,0.202,1.0,5.0511
RFWD2,1,0.202,0.99994,2.5301
STAT5A,17,0.202,0.99994,2.9396
GATAD2A,19,0.202,0.99957,1.2722
COL1A2,7,0.202,1.0,2.1491
DMXL1,5,0.202,1.0,-0.48851
AP1G1,16,0.202,0.99998,2.9839
OSBPL6,2,0.202,0.99999,1.7799
USP19,3,0.203,0.99999,1.9896
SMARCA2,9,0.203,1.0,5.054
ARHGAP21,10,0.203,1.0,0.95534
CAMSAP2,1,0.203,0.99999,2.7046
PHF1,6,0.203,0.99956,1.7976
PRKCG,19,0.203,0.99985,3.0601
KIAA1244,6,0.203,1.0,2.5007
PDZD8,10,0.203,0.99984,1.573
BTBD11,12,0.204,0.99993,2.2234
UNC5A,5,0.204,0.99983,2.7493
CTDSP1,2,0.204,0.99254,1.1516
CELF5,19,0.204,0.99844,3.689
RBM14,11,0.204,0.99843,2.1122
TRAPPC10,21,0.204,0.99999,1.5609
CYLD,16,0.204,0.99993,3.5455
FTSJ1,X,0.204,0.99254,2.172
ATP9A,20,0.205,0.99999,4.1543
BRSK1,19,0.205,0.99982,3.9402
NFAT5,16,0.205,1.0,3.1341
ATF7,12,0.205,0.9984,2.2757
IL21R,16,0.205,0.99835,0.74898
RBM39,20,0.205,0.99981,4.2603
EIF4A2,3,0.205,0.99835,3.895
MORC2,22,0.205,0.99999,3.2251
FBN2,5,0.205,1.0,1.5491
ZC3H12B,X,0.206,0.99835,2.5427
CSNK1G3,5,0.206,0.99947,2.7512
PDE4D,5,0.206,0.9998,3.7529
GNAL,18,0.206,0.99829,3.3368
PITPNM3,17,0.206,0.99992,2.0146
UBE3A,15,0.206,0.9998,4.4026
ZNF512B,20,0.206,0.99992,1.8258
BHLHE41,12,0.206,0.99212,0.82297
SETD2,3,0.206,1.0,3.0459
SMARCD1,12,0.206,0.99947,3.4416
RBM27,5,0.206,0.99999,2.4786
SLC9A6,X,0.206,0.99833,2.9537
TOMM40,19,0.206,0.99218,2.1638
RIMS2,8,0.206,1.0,0.77596
ANKIB1,7,0.207,0.99996,3.164
CDK1,10,0.207,0.99206,2.9741
FBXO41,2,0.207,0.99944,1.8463
MAPK8,10,0.207,0.99823,2.8771
GLG1,16,0.207,1.0,2.0663
PTPRC,1,0.207,1.0,1.1722
RASGRF1,15,0.207,0.99999,4.2111
ACHE,7,0.207,0.99827,2.7523
HMGCS1,5,0.207,0.99824,3.0389
QSER1,11,0.208,0.99999,1.3385
ATAD5,17,0.208,1.0,1.8931
SF3B4,1,0.208,0.99176,3.8666
DDI2,1,0.208,0.99819,2.7291
EP400,12,0.208,1.0,2.5604
PAPD5,16,0.208,0.99943,3.5531
GCN1L1,12,0.208,1.0,4.436
CORO1C,12,0.209,0.99813,2.3325
IL2RG,X,0.209,0.99152,1.4894
MBD6,12,0.209,0.99937,-0.74132
ARHGAP30,1,0.209,0.9999,-0.1023
PPP5C,19,0.209,0.99938,2.7341
LMNA,1,0.209,0.9994,2.3673
RAB11A,15,0.209,0.99151,3.0924
SYNCRIP,6,0.209,0.99939,3.5396
SOX10,22,0.209,0.99166,2.7665
BRAF,7,0.209,0.99995,3.7208
SVOP,12,0.209,0.99938,2.4589
HNRNPR,1,0.21,0.99935,3.5388
RPGR,X,0.21,0.99804,1.246
WNK2,9,0.21,1.0,2.5818
MAPRE1,20,0.21,0.99129,1.4332
WDR45,X,0.21,0.99145,2.0155
MEPCE,7,0.21,0.99804,1.9913
BRINP2,1,0.21,0.99936,0.86379
C11orf84,11,0.21,0.99142,0.66972
NPAS3,14,0.211,0.99974,3.1383
USP15,12,0.211,0.99997,3.4993
ZC3H13,13,0.211,1.0,1.7294
DGCR8,22,0.211,0.99973,2.9898
CACNA1G,17,0.211,1.0,4.6386
ING3,7,0.211,0.99933,2.2942
CSMD1,8,0.211,1.0,-6.8693
ERCC6L,X,0.211,0.99932,2.8905
DNAJA2,16,0.211,0.99796,2.4788
TAF5,10,0.211,0.99973,2.6483
C10orf12,10,0.211,0.99974,1.4424
KIF26B,1,0.211,0.99999,0.94702
RP11-159G9.5,3,0.211,0.99105,2.2923
UBN1,16,0.211,0.99995,-0.78925
MTSS1,8,0.212,0.9997,1.815
ASTN1,1,0.212,0.99998,1.6513
NCOA5,20,0.212,0.99926,0.99393
OTUD4,4,0.212,0.99997,1.5625
SORT1,1,0.212,0.99987,2.1035
UCHL1,4,0.212,0.99095,0.69856
LEF1,4,0.212,0.99789,1.5719
FRY,13,0.212,1.0,4.1944
MAP3K7,6,0.212,0.99971,2.786
LCK,1,0.212,0.99926,3.4798
ZNF445,3,0.212,0.9997,1.3701
IGF2R,6,0.212,1.0,2.0655
BTBD18,11,0.212,0.99782,1.6505
CHRM1,11,0.213,0.99059,2.763
ASH2L,8,0.213,0.99968,2.7751
ACTN1,14,0.213,0.99997,3.3621
ATF7IP,12,0.213,0.99993,1.7776
ATP6AP1,X,0.213,0.99079,1.5308
HSP90AB1,6,0.213,0.99923,2.0502
PDE10A,6,0.213,0.99986,3.758
RFX2,19,0.213,0.9997,2.6556
COPB1,11,0.213,0.99994,2.3822
RNF111,15,0.213,0.99987,0.3204
TBC1D10B,16,0.213,0.99922,1.9461
WDR33,2,0.213,1.0,3.9031
NRG2,5,0.213,0.99925,2.2734
UBN2,7,0.213,0.99993,0.18723
UBR2,6,0.213,1.0,3.1456
FAM193A,4,0.213,0.99993,0.90509
SLC6A8,X,0.213,0.99778,3.0483
SARS,1,0.213,0.99925,2.6571
MLLT4,6,0.213,1.0,2.211
SRCIN1,17,0.213,0.99987,2.8226
CACNA1D,3,0.214,1.0,4.5817
ST5,11,0.214,0.99996,1.8704
MAP3K1,5,0.214,0.99998,1.6749
IGSF1,X,0.214,0.99993,1.1512
COG3,13,0.214,0.99993,1.5702
JAK1,1,0.214,0.99998,4.6073
RAB14,9,0.214,0.99047,2.8522
EVI5L,19,0.214,0.99985,4.2346
DYRK1A,21,0.214,0.99967,3.3441
NEURL4,17,0.214,0.99999,2.9518
DAB1,1,0.215,0.99915,1.5184
KCNH4,17,0.215,0.99984,2.9416
ARHGEF11,1,0.215,1.0,1.6298
CCAR1,10,0.215,0.99999,3.6371
THSD7A,7,0.215,1.0,-0.59799
SOX6,11,0.215,0.99984,1.9285
FGFR1,8,0.215,0.99984,2.4852
TTYH3,7,0.215,0.99916,0.80708
ROCK2,2,0.215,1.0,4.384
ANKS1B,12,0.215,0.99998,2.9457
NFASC,1,0.215,0.99999,2.5875
WASF1,6,0.215,0.99757,2.5462
SENP6,6,0.215,0.99998,0.99897
CSNK1A1,5,0.215,0.99758,4.3022
WDR48,3,0.215,0.99985,2.8
GCLM,1,0.216,0.99011,1.3564
RPS8,1,0.216,0.99003,2.4175
FAF2,5,0.216,0.99911,2.5229
HS6ST3,13,0.216,0.99001,1.191
RBM4,11,0.216,0.99005,1.9762
CSNK1G1,15,0.216,0.99911,1.9906
ACACA,17,0.216,1.0,7.2382
COL11A1,1,0.216,1.0,1.0245
U2AF1,21,0.216,0.9899,3.8478
ATP7A,X,0.216,0.99983,1.5302
TPX2,20,0.217,0.99981,0.49021
NUMA1,11,0.217,1.0,0.88132
NR2F2,15,0.217,0.98972,3.5964
TCF4,18,0.217,0.99981,4.1035
HTATSF1,X,0.217,0.9974,1.9835
TRAF6,11,0.217,0.99739,2.7157
RSRC2,12,0.217,0.99905,1.9912
SNRPA1,15,0.217,0.98984,1.871
SNW1,14,0.217,0.99961,2.8522
NXN,17,0.218,0.99725,2.178
CCT4,2,0.218,0.99903,1.0086
SAMD4A,14,0.218,0.99958,1.8422
RGAG1,X,0.218,0.99731,-0.66854
ZMIZ2,7,0.218,0.99981,1.9188
ANP32A,15,0.218,0.98961,2.5283
GPM6A,4,0.218,0.98962,1.9639
ITCH,20,0.218,0.99997,3.5832
XRCC6,22,0.218,0.99904,3.0983
AGO4,1,0.218,0.9999,3.7941
DDX39B,6,0.218,0.99725,4.5644
ZNF536,19,0.218,0.99958,2.4037
HNRNPA2B1,7,0.218,0.99732,3.0018
EWSR1,22,0.218,0.99981,2.5227
NUMBL,19,0.218,0.99902,3.0296
STRBP,9,0.218,0.99958,3.4769
CPEB1,15,0.218,0.99899,2.0987
SUV39H1,X,0.218,0.98957,3.4884
FOXP2,7,0.219,0.99994,1.8963
RXRB,6,0.219,0.99719,3.4196
SP2,17,0.219,0.99721,2.3682
AQR,15,0.219,1.0,3.5509
SEMA3F,3,0.219,0.99989,2.4689
SMG7,1,0.219,0.99998,2.1934
SRP54,14,0.219,0.99895,3.4521
KDM3A,2,0.219,0.99999,1.6494
FRS2,12,0.219,0.99721,1.1311
BRD2,6,0.219,0.99957,0.59311
ADAMTS6,5,0.22,0.99998,3.088
GIT1,17,0.22,0.99978,3.0601
ATP13A3,3,0.22,0.99998,3.0145
RAB2A,8,0.22,0.98913,2.9884
ASAP2,2,0.22,0.99996,2.3661
PRKAR2B,7,0.22,0.99713,2.4727
SMARCB1,22,0.22,0.9971,3.6016
